family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
strigidae,576,0.09767936915159225,0.026706203818321228,0.08092951774597168,136,20,0.5052083333333334,Back
strigopidae,14,0.0974961519241333,0.020336434245109558,0.05922895669937134,3,2,0.5714285714285714,Back
sturnidae,550,0.13705141842365265,0.04040515422821045,0.026523351669311523,104,23,0.5109090909090909,Back
sulidae,41,0.11929372698068619,0.04000212997198105,0.09191334247589111,10,3,0.4878048780487805,Back
sylviidae,161,0.07575305551290512,0.019529879093170166,0.02189779281616211,28,5,0.5031055900621118,Back
teretistridae,8,0.08373966813087463,0.011889021843671799,0.05976533889770508,2,1,0.75,Back
thamnophilidae,664,0.13213405013084412,0.042040884494781494,0.022141098976135254,166,45,0.5060240963855421,Back
thinocoridae,20,0.056504227221012115,0.01106012798845768,0.1272873878479004,4,2,0.55,Back
thraupidae,1440,0.15396329760551453,0.05377809330821037,0.007577478885650635,329,87,0.5388888888888889,Back
threskiornithidae,129,0.17116574943065643,0.05070774257183075,0.039986252784729004,33,14,0.46511627906976744,Back
timaliidae,273,0.09593430161476135,0.02635960653424263,0.025608956813812256,58,9,0.5018315018315018,Back
tinamidae,59,0.11468672007322311,0.0214255228638649,0.07666295766830444,33,8,0.4067796610169492,Back
tityridae,195,0.12960503995418549,0.0348174013197422,0.008578836917877197,39,10,0.517948717948718,Back
todidae,22,0.07802801579236984,0.022497329860925674,0.16217446327209473,5,1,0.5909090909090909,Back
trochilidae,1382,0.12733767926692963,0.04555578529834747,0.08801800012588501,301,102,0.5260492040520984,Back
troglodytidae,273,0.10742103308439255,0.03217059373855591,0.032578349113464355,70,16,0.5421245421245421,Back
trogonidae,198,0.14416728913784027,0.02805604785680771,0.045055091381073,37,6,0.5202020202020202,Back
turdidae,684,0.09808547794818878,0.03757251426577568,0.015810012817382812,136,17,0.5116959064327485,Back
turnicidae,74,0.0840814933180809,0.02002662606537342,0.10755538940429688,14,2,0.4864864864864865,Back
tyrannidae,1421,0.10667091608047485,0.03916870802640915,0.01219034194946289,341,93,0.5369458128078818,Back
tytonidae,31,0.09903284907341003,0.022639622911810875,0.10198581218719482,9,2,0.45161290322580644,Back
upupidae,6,0.04495114088058472,0.011924652382731438,0.1803264021873474,1,1,0.5,Back
urocynchramidae,4,0.0602574348449707,0.006750475615262985,0.13725823163986206,1,1,0.75,Back
vangidae,183,0.1322912722826004,0.04134169965982437,0.01992088556289673,34,21,0.5081967213114754,Back
viduidae,74,0.15348562598228455,0.05539710819721222,0.03159230947494507,17,2,0.6621621621621622,Back
vireonidae,224,0.09642013162374496,0.030962007120251656,0.03330695629119873,51,6,0.47767857142857145,Back
zeledoniidae,6,0.04525608941912651,0.007456331979483366,0.10077822208404541,1,1,0.5,Back
zosteropidae,351,0.09174150228500366,0.025514578446745872,0.04037719964981079,84,11,0.5327635327635327,Back
