family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
calcariidae,29,0.09400275349617004,0.021537236869335175,0.06028282642364502,6,2,0.4482758620689655,Side
callaeidae,3,0.04805344343185425,0.00500368932262063,0.11859488487243652,1,1,1.0,Side
calyptomenidae,25,0.15020059049129486,0.03168880566954613,0.06914860010147095,6,2,0.56,Side
calyptophilidae,3,0.06013798713684082,0.016032228246331215,0.07912641763687134,1,1,0.6666666666666666,Side
campephagidae,359,0.14560414850711823,0.05165733024477959,0.029519319534301758,72,5,0.5013927576601671,Side
capitonidae,40,0.15004576742649078,0.025635777041316032,0.08732759952545166,9,2,0.5,Side
caprimulgidae,339,0.09891977161169052,0.042832423001527786,0.07349467277526855,73,15,0.5073746312684366,Side
cardinalidae,238,0.14135725796222687,0.040793467313051224,0.026772260665893555,47,14,0.5252100840336135,Side
cariamidae,5,0.07092384994029999,0.015647167339920998,0.10682010650634766,2,2,0.4,Side
cathartidae,23,0.11323746293783188,0.02360789105296135,0.06928348541259766,6,4,0.5217391304347826,Side
certhiidae,37,0.07339740544557571,0.01952856406569481,0.062272846698760986,7,1,0.4864864864864865,Side
chaetopidae,9,0.08765095472335815,0.022794920951128006,0.06322067975997925,2,1,0.3333333333333333,Side
charadriidae,350,0.11546473950147629,0.02852647565305233,0.061412692070007324,63,10,0.5028571428571429,Side
chionidae,6,0.051496852189302444,0.013734886422753334,0.264090895652771,1,1,0.5,Side
chloropseidae,44,0.09750714153051376,0.022415069863200188,0.15175503492355347,8,1,0.5,Side
ciconiidae,83,0.1482192426919937,0.03167662024497986,0.07841700315475464,19,6,0.42168674698795183,Side
cinclidae,26,0.09006338566541672,0.017427003011107445,0.05135452747344971,5,1,0.5,Side
cinclosomatidae,40,0.13499189913272858,0.032657042145729065,0.04011547565460205,8,2,0.45,Side
cisticolidae,767,0.11075475811958313,0.03366057574748993,0.019698023796081543,144,22,0.5241199478487614,Side
climacteridae,34,0.0696459412574768,0.01537577249109745,0.029979288578033447,6,2,0.5,Side
cnemophilidae,14,0.1327332854270935,0.04050072655081749,0.04740309715270996,3,2,0.5714285714285714,Side
coliidae,36,0.07934083044528961,0.024549230933189392,0.1239168643951416,6,2,0.5,Side
columbidae,1250,0.14481613039970398,0.03937023505568504,0.027571141719818115,274,43,0.512,Side
