val_family,min_dist_to_train,dist_to_train_global,label_entropy,n_val
passeridae,0.02015240987141927,0.03544437885284424,0.8318559159893489,226.0
bernieridae,0.019559045632680256,0.03836069504419962,0.02590398411452528,40.0
vangidae,0.019253015518188477,0.02171228329340617,0.2837961735099846,183.0
petroicidae,0.018507500489552815,0.024004896481831867,0.36044389493557416,170.0
cardinalidae,0.01769689718882243,0.03275450070699056,0.4107412346091128,238.0
thamnophilidae,0.017430623372395832,0.02511821190516154,0.21593827594854823,664.0
rhipiduridae,0.01719441016515096,0.029436906178792317,0.2653278931107839,157.0
cotingidae,0.01680697997411092,0.013068974018096924,0.16542006592507064,251.0
parulidae,0.01637156804402669,0.04228770732879639,0.35091776264979196,507.0
monarchidae,0.016273756821950276,0.025651415189107258,0.26485070978559533,295.0
nectariniidae,0.01624824603398641,0.027559399604797363,0.5435972346051038,680.0
turdidae,0.015897095203399658,0.014531135559082031,0.44281463769259105,684.0
sylviidae,0.015691677729288738,0.022761722405751545,0.6186354806082698,161.0
acrocephalidae,0.01547086238861084,0.03108664353688558,0.6728890452262976,207.0
pycnonotidae,0.014684597651163736,0.029419203599294026,0.39252177000688965,640.0
locustellidae,0.01407843828201294,0.027541041374206543,0.6892113746773313,197.0
thraupidae,0.013043423493703207,0.012931307156880697,0.5573484599976786,1440.0
ploceidae,0.01275251309076945,0.03575066725413004,0.7191922817743507,575.0
paradoxornithidae,0.012572109699249268,0.030232747395833332,0.5510194235733663,120.0
passerellidae,0.012507160504659018,0.015963395436604817,0.6466370159890548,533.0
macrosphenidae,0.012439926465352377,0.030225078264872234,0.6025632555729451,91.0
fringillidae,0.012204686800638834,0.0237462321917216,0.6558130285624325,947.0
pachycephalidae,0.012141744295756022,0.017991642157236736,0.22839416052541583,143.0
zosteropidae,0.011714816093444824,0.048996369043986,0.3261379661600063,351.0
furnariidae,0.011107921600341797,0.02277340491612752,0.6528339897108676,889.0
pellorneidae,0.011035919189453125,0.03040558099746704,0.23018607969217553,235.0
meliphagidae,0.010903636614481607,0.01010127862294515,0.48150199450855236,699.0
leiothrichidae,0.010880668958028158,0.014445443948109945,0.46965057717424,726.0
muscicapidae,0.01085972785949707,0.009054621060689291,0.6679994004991637,1512.0
timaliidae,0.01082998514175415,0.023739973704020183,0.1902740394828115,273.0
acanthizidae,0.010489324728647867,0.02839603026707967,0.4981374257103808,224.0
cisticolidae,0.010264456272125244,0.02040173610051473,0.6796010132408522,767.0
scotocercidae,0.010182718435923258,0.031127015749613445,0.34258278141343895,171.0
tityridae,0.009968618551890055,0.011182010173797607,0.17587622392208058,195.0
phylloscopidae,0.00959622859954834,0.03928957382837931,0.3136096414874238,336.0
tyrannidae,0.00955204168955485,0.014928956826527914,0.6055243495280864,1421.0
vireonidae,0.009541710217793783,0.03892060120900472,0.3091216011488874,224.0
