"Species_Name";"Seasonal";"N_obs_ebird";"Mean_prob_ebird";"Sd_prob_ebird";"Mean_lat_ebird";"1";"2";"3";"4";"8";"12";"14";"9_11";"5_13_15";"6_7"
"Acridotheres tristis";"BREEDING-RESIDENT";"100000";"0.6313";"0.2831";"17.1741";13,7;0;0;0,6;0;0;85,7;0;0;0
"Acritillas indica";"BREEDING-RESIDENT";"100000";"0.3167";"0.2209";"11.3157";79,9;0;0;0;0;0;19,8;0;0,3;0
"Acrobatornis fonsecai";"BREEDING-RESIDENT";"122";"0.5561";"0.1571";"-15.06";67,3;0;0;0;0;0;32,7;0;0;0
"Acrocephalus aequinoctialis";"BREEDING-RESIDENT";"20";"0.0293";"0.0424";"1.9798";0;0;100;0;0;0;0;0;0;0
"Acrocephalus agricola";"BREEDING-RESIDENT";"2538";"0.6494";"0.2038";"46.1006";0;0;0;0;0;0;0;0;100;0
"Acrocephalus agricola";"NONBREEDING";"9492";"0.6127";"0.253";"20.2664";0;0;0;0;0;0;88,8;0;11,2;0
"Acrocephalus arundinaceus";"BREEDING-RESIDENT";"100000";"0.5869";"0.2435";"44.7979";0;0;0;0;0;0;0;0;100;0
"Acrocephalus arundinaceus";"NONBREEDING";"2509";"0.5928";"0.2537";"-14.3144";0;59,8;6,5;10;0;0;16,6;0;7,1;0
"Acrocephalus australis";"BREEDING-RESIDENT";"100000";"0.7491";"0.2304";"-33.4578";0;0;0;0;0;0;0;0;100;0
"Acrocephalus bistrigiceps";"BREEDING-RESIDENT";"6952";"0.6773";"0.2476";"40.7122";0;0;0;50,2;0;0;0;0;49,8;0
"Acrocephalus bistrigiceps";"NONBREEDING";"19125";"0.6901";"0.2444";"15.5684";0;0;0;0;0;0;0;0;100;0
"Acrocephalus brevipennis";"BREEDING-RESIDENT";"433";"0.6074";"0.1352";"15.0972";0,7;0;33,9;0;0;0;9,4;0;56;0
"Acrocephalus concinens";"BREEDING-RESIDENT";"371";"0.7373";"0.2667";"32.6249";0;0;0;0;0;0;0;0;100;0
"Acrocephalus concinens";"NONBREEDING";"229";"0.5789";"0.1931";"18.5561";0;0;0;0;0;0;0;0;100;0
"Acrocephalus dumetorum";"BREEDING-RESIDENT";"8392";"0.6897";"0.2595";"56.0737";32,3;0;14,1;0;0;0;45,9;0;7,6;0
"Acrocephalus dumetorum";"NONBREEDING";"100000";"0.5298";"0.2776";"13.7684";0;0;14,4;0,1;0;0;80,2;0;5,3;0
"Acrocephalus familiaris";"BREEDING-RESIDENT";"56";"NaN";"NaN";"24.4168";0;0;100;0;0;0;0;0;0;0
"Acrocephalus gracilirostris";"BREEDING-RESIDENT";"26576";"0.7173";"0.2378";"-23.3804";0;0;23,4;48,3;0;0,2;0;0;28,1;0
"Acrocephalus griseldis";"BREEDING-RESIDENT";"225";"0.6043";"0.2984";"30.3957";0;0;0;0;0;0;0;0;100;0
"Acrocephalus griseldis";"NONBREEDING";"12";"0.3937";"0.272";"-7.0718";0;100;0;0;0;0;0;0;0;0
"Acrocephalus melanopogon";"BREEDING-RESIDENT";"15991";"0.7568";"0.1956";"38.5806";0;0;0;0;0;0;0;0;100;0
"Acrocephalus melanopogon";"NONBREEDING";"6233";"0.6808";"0.2156";"34.2674";0;0;0;0;0;0;0;0;100;0
"Acrocephalus newtoni";"BREEDING-RESIDENT";"2388";"0.6956";"0.2696";"-19.565";85,9;0;0;0;0;0;0;0;14,1;0
"Acrocephalus orientalis";"BREEDING-RESIDENT";"19307";"0.701";"0.2281";"37.8241";0;0;0;0;0;0;0;0;100;0
"Acrocephalus orientalis";"NONBREEDING";"24354";"0.6479";"0.2587";"12.0671";0;7;3,5;0,6;0;0;77,5;0;11,4;0
"Acrocephalus orinus";"BREEDING-RESIDENT";"15";"0.6768";"0.1575";"37.2277";0;0;100;0;0;0;0;0;0;0
"Acrocephalus orinus";"NONBREEDING";"27";"0.686";"0.1772";"21.3337";43;0;0;0;0;0;0;0;57;0
"Acrocephalus paludicola";"BREEDING-RESIDENT";"1420";"0.572";"0.2543";"53.2117";0;0;0;0;0;0;81,4;0;18,6;0
"Acrocephalus paludicola";"NONBREEDING";"17";"0.7626";"0.0878";"16.063";0;0;0;0;0;0;86,9;0;13,1;0
"Acrocephalus palustris";"BREEDING-RESIDENT";"67443";"0.4941";"0.2494";"51.333";28;0;39,3;0;0;0;0;0;32,7;0
"Acrocephalus palustris";"NONBREEDING";"1648";"0.5038";"0.2496";"-23.7436";28,9;0;14,3;21,2;0;0;26,9;0;8,7;0
"Acrocephalus rodericanus";"BREEDING-RESIDENT";"33";"0.2128";"0.14";"-19.7015";0;0;100;0;0;0;0;0;0;0
"Acrocephalus rufescens";"BREEDING-RESIDENT";"2192";"0.7227";"0.2118";"-1.8587";0;0;0;0;0;0;0;0;100;0
"Acrocephalus schoenobaenus";"BREEDING-RESIDENT";"100000";"0.5732";"0.2392";"52.8508";0;0;0;2,5;0;0;79,4;0;18,1;0
"Acrocephalus schoenobaenus";"NONBREEDING";"5128";"0.6758";"0.2363";"-1.5086";0;48,2;0;14;0;0;20,9;0;17;0
"Acrocephalus scirpaceus";"BREEDING-RESIDENT";"100000";"0.6147";"0.2352";"45.2945";0;0;0;0;0;0;0;0;100;0
"Acrocephalus scirpaceus";"NONBREEDING";"1075";"0.7075";"0.232";"9.7049";0;69,2;15,1;15,7;0;0;0;0;0;0
"Acrocephalus stentoreus";"BREEDING-RESIDENT";"71240";"0.7382";"0.2086";"24.0226";9,7;0;17,5;9,9;0;0;0;0;62,9;0
"Acrocephalus stentoreus";"NONBREEDING";"66368";"0.5791";"0.2524";"16.7904";30,7;0;18,2;2,4;0;0;0;0;48,7;0
"Acrocephalus taiti";"BREEDING-RESIDENT";"96";"0.0419";"0.0406";"-24.3455";100;0;0;0;0;0;0;0;0;0
"Acrocephalus tangorum";"BREEDING-RESIDENT";"7";"0.3583";"0.1706";"48.673";0;0;0;0;0;0;0;0;100;0
"Acrocephalus tangorum";"NONBREEDING";"830";"0.4038";"0.1621";"12.9595";0;0;0;100;0;0;0;0;0;0
"Acropternis orthonyx";"BREEDING-RESIDENT";"15437";"0.5508";"0.2176";"2.5085";100;0;0;0;0;0;0;0;0;0
"Acryllium vulturinum";"BREEDING-RESIDENT";"6085";"0.3831";"0.2057";"0.1847";0,5;89,5;9,4;0,7;0;0;0;0;0;0
"Actenoides bougainvillei";"BREEDING-RESIDENT";"50";"0.0681";"0.0343";"-6.7793";100;0;0;0;0;0;0;0;0;0
"Actenoides concretus";"BREEDING-RESIDENT";"4376";"0.3817";"0.1781";"4.5427";100;0;0;0;0;0;0;0;0;0
"Actenoides hombroni";"BREEDING-RESIDENT";"775";"0.3473";"0.1773";"7.9404";100;0;0;0;0;0;0;0;0;0
"Actenoides lindsayi";"BREEDING-RESIDENT";"3093";"0.5368";"0.2383";"14.1719";100;0;0;0;0;0;0;0;0;0
"Actenoides monachus";"BREEDING-RESIDENT";"1620";"0.5485";"0.1121";"1.4106";100;0;0;0;0;0;0;0;0;0
"Actenoides princeps";"BREEDING-RESIDENT";"622";"0.6519";"0.1434";"1.1107";100;0;0;0;0;0;0;0;0;0
"Actinodura egertoni";"BREEDING-RESIDENT";"18398";"0.528";"0.1846";"26.8058";96;0;4;0;0;0;0;0;0;0
"Actinodura ramsayi";"BREEDING-RESIDENT";"3781";"0.5688";"0.2242";"19.5513";99,8;0;0,2;0;0;0;0;0;0;0
"Actinodura sodangorum";"BREEDING-RESIDENT";"13";"0.2011";"0.0551";"15.3954";90,4;0;0;0;0;0;9,6;0;0;0
"Actitis hypoleucos";"BREEDING-RESIDENT";"100000";"0.6465";"0.2568";"43.9838";0;0;0;17,9;0;0;0;14,4;67,7;0
"Actitis hypoleucos";"NONBREEDING";"100000";"0.6681";"0.2506";"17.0048";10,9;0;0;0;0;0;61,6;10,3;17,2;0
"Actitis macularius";"BREEDING-RESIDENT";"100000";"0.6179";"0.2696";"43.222";0;0;0;0;0;0;0;0;100;0
"Actitis macularius";"NONBREEDING";"100000";"0.6596";"0.2577";"23.5271";0;0;0;0;0;3,9;0;19,3;76,8;0
"Actophilornis africanus";"BREEDING-RESIDENT";"92231";"0.6178";"0.2484";"-9.8941";0;0;0;8,2;0;0,5;50,5;0,7;40,1;0
"Actophilornis albinucha";"BREEDING-RESIDENT";"790";"0.5606";"0.2876";"-16.2623";0;0;0;0;0;0;0;0;100;0
"Adelomyia melanogenys";"BREEDING-RESIDENT";"64627";"0.6426";"0.2197";"-0.451";100;0;0;0;0;0;0;0;0;0
"Aechmophorus clarkii";"BREEDING-RESIDENT";"100000";"0.7017";"0.2253";"37.8636";0;0;0;0;0;0;0;0;100;0
"Aechmophorus occidentalis";"BREEDING-RESIDENT";"100000";"0.6482";"0.2327";"42.0462";0;0;0;0;0;1,1;0;0;98,9;0
"Aechmophorus occidentalis";"NONBREEDING";"100000";"0.7911";"0.2255";"37.6431";0;0;0;0;0;0;0;83,9;16,1;0
"Aegithalos caudatus";"BREEDING-RESIDENT";"100000";"0.5174";"0.2669";"47.9387";14,9;0;20,5;0;0;0;64,6;0;0;0
"Aegithalos concinnus";"BREEDING-RESIDENT";"61226";"0.4361";"0.2371";"25.8334";64,3;0;6,1;0;0;0;29,6;0;0;0
"Aegithalos fuliginosus";"BREEDING-RESIDENT";"794";"0.3576";"0.2332";"32.4395";91,3;0;8,7;0;0;0;0;0;0;0
"Aegithalos glaucogularis";"BREEDING-RESIDENT";"15664";"0.7622";"0.2337";"37.3171";4,8;0;7;0;0;0;88,2;0;0;0
"Aegithalos iouschistos";"BREEDING-RESIDENT";"3883";"0.6637";"0.2171";"27.5656";76,9;0;23,1;0;0;0;0;0;0;0
"Aegithalos leucogenys";"BREEDING-RESIDENT";"18";"0.3294";"0.2517";"34.2265";18,6;0;81,4;0;0;0;0;0;0;0
"Aegithalos niveogularis";"BREEDING-RESIDENT";"658";"0.4552";"0.1903";"31.46";81;0;19;0;0;0;0;0;0;0
"Aegithina lafresnayei";"BREEDING-RESIDENT";"13229";"0.3771";"0.2091";"12.7101";100;0;0;0;0;0;0;0;0;0
"Aegithina nigrolutea";"BREEDING-RESIDENT";"4918";"0.4867";"0.1938";"23.6776";0;0;12;0;0;0;88;0;0;0
"Aegithina tiphia";"BREEDING-RESIDENT";"100000";"0.5393";"0.2825";"14.6408";40,2;0;0;0;0;0;59,8;0;0;0
"Aegithina viridissima";"BREEDING-RESIDENT";"14016";"0.4082";"0.202";"4.6824";100;0;0;0;0;0;0;0;0;0
"Aegolius acadicus";"BREEDING-RESIDENT";"100000";"0.5204";"0.3149";"44.5238";100;0;0;0;0;0;0;0;0;0
"Aegolius acadicus";"NONBREEDING";"21886";"0.4512";"0.2874";"39.6825";77,9;0;0;0;0;0;22,1;0;0;0
"Aegolius funereus";"BREEDING-RESIDENT";"14248";"0.4556";"0.3312";"52.7102";100;0;0;0;0;0;0;0;0;0
"Aegolius funereus";"NONBREEDING";"15";"0.6154";"0.2856";"56.1258";100;0;0;0;0;0;0;0;0;0
"Aegolius harrisii";"BREEDING-RESIDENT";"420";"0.3647";"0.2193";"-19.2884";73,8;10;5,2;0;0;0;10,9;0;0;0
"Aegolius ridgwayi";"BREEDING-RESIDENT";"1279";"0.5409";"0.2093";"12.7848";100;0;0;0;0;0;0;0;0;0
"Aegotheles affinis";"BREEDING-RESIDENT";"79";"0.6007";"0.2027";"-1.0731";100;0;0;0;0;0;0;0;0;0
"Aegotheles albertisi";"BREEDING-RESIDENT";"369";"0.6817";"0.2877";"-6.0591";97,2;0;0;0;0;0;2,8;0;0;0
"Aegotheles bennettii";"BREEDING-RESIDENT";"692";"0.154148988439306";"0.0785054913294798";"-8.46949421965318";100;0;0;0;0;0;0;0;0;0
"Aegotheles crinifrons";"BREEDING-RESIDENT";"573";"0.5084";"0.1637";"0.8977";84,1;0;0;0;0;0;15,9;0;0;0
"Aegotheles cristatus";"BREEDING-RESIDENT";"32287";"0.413";"0.2886";"-31.0444";89,4;9,6;0;0;0;0;0;0;0,9;0
"Aegotheles insignis";"BREEDING-RESIDENT";"783";"0.6139";"0.2377";"-3.1358";100;0;0;0;0;0;0;0;0;0
"Aegotheles tatei";"BREEDING-RESIDENT";"91";"0.2134";"0.074";"-6.0687";100;0;0;0;0;0;0;0;0;0
"Aegotheles wallacii";"BREEDING-RESIDENT";"32";"0.4233";"0.2494";"-1.3607";100;0;0;0;0;0;0;0;0;0
"Aegypius monachus";"BREEDING-RESIDENT";"85317";"0.4043";"0.2502";"40.8402";12,5;0;48,5;39;0;0;0;0;0;0
"Aegypius monachus";"NONBREEDING";"45383";"0.3663";"0.2434";"37.6635";18,9;0;66,7;14,4;0;0;0;0;0;0
"Aepypodius arfakianus";"BREEDING-RESIDENT";"124";"0.3512";"0.276";"-3.5049";100;0;0;0;0;0;0;0;0;0
"Aepypodius bruijnii";"BREEDING-RESIDENT";"1";"0.3012";"NaN";"-0.2335";100;0;0;0;0;0;0;0;0;0
"Aerodramus brevirostris";"BREEDING-RESIDENT";"16067";"0.5888";"0.2115";"26.6256";76;0;0;0;0;0;24;0;0;0,1
"Aerodramus brevirostris";"NONBREEDING";"3449";"0.5469";"0.2512";"15.2573";79,2;0;0;0;0;0;20,8;0;0;0
"Aerodramus francicus";"BREEDING-RESIDENT";"1913";"0.5948";"0.1355";"-20.5834";54,4;0;9,2;0;0;0;36,3;0;0;0
"Aerodramus fuciphagus";"BREEDING-RESIDENT";"55273";"0.6718";"0.261";"8.0563";44,9;0;6,7;0;0;0,9;47,5;0;0;0
"Aerodramus hirundinaceus";"BREEDING-RESIDENT";"3262";"0.5253";"0.2405";"-4.9245";100;0;0;0;0;0;0;0;0;0
"Aerodramus infuscatus";"BREEDING-RESIDENT";"2238";"0.5235";"0.2093";"-1.7393";100;0;0;0;0;0;0;0;0;0
"Aerodramus maximus";"BREEDING-RESIDENT";"3092";"0.3975";"0.2836";"4.0454";100;0;0;0;0;0;0;0;0;0
"Aerodramus mearnsi";"BREEDING-RESIDENT";"2031";"0.4953";"0.2176";"10.1243";100;0;0;0;0;0;0;0;0;0
"Aerodramus orientalis";"BREEDING-RESIDENT";"1";"0.0677";"NaN";"-3.2752";100;0;0;0;0;0;0;0;0;0
"Aerodramus pelewensis";"BREEDING-RESIDENT";"2174";"0.7454";"0.116";"7.3592";100;0;0;0;0;0;0;0;0;0
